Pull Request - Commit URL,Class
https://github.com/aaberg/sql2o/pull/286/commits/b9a824546cf929511e447837d94638afcfff332e,core/src/main/java/org/sql2o/Query.java
https://github.com/apache/accumulo/pull/793/commits/1d94714bdc4e5e54432dfa8ca1c0a5efa1ce723d,server/tserver/src/main/java/org/apache/accumulo/tserver/TabletServer.java
https://github.com/apache/accumulo/pull/793/commits/7a093189d55775dacfcb81474973ff434c26af24,server/tserver/src/main/java/org/apache/accumulo/tserver/log/TabletServerLogger.java
https://github.com/apache/accumulo/pull/793/commits/1d94714bdc4e5e54432dfa8ca1c0a5efa1ce723d,server/tserver/src/main/java/org/apache/accumulo/tserver/TabletServer.java
https://github.com/apache/accumulo/pull/890/commits/d7f789a894f8f1a50e8cd77938a54693e8d23ddc,server/master/src/main/java/org/apache/accumulo/master/tableOps/bulkVer2/LoadFiles.java
https://github.com/apache/accumulo/pull/1546/commits/0de251ec567e6443df871ed5cbe44a1077e70af2,core/src/main/java/org/apache/accumulo/core/cli/ClientOpts.java
https://github.com/apache/accumulo/pull/1604/commits/49df8a2ea20c049db15d9da4a6bbe0d0cae5eca5,test/src/main/java/org/apache/accumulo/test/ThriftServerBindsBeforeZooKeeperLockIT.java
https://github.com/apache/accumulo/pull/1661/commits/3244f2bb1d8b63e430d7fdecc75fc79656f2c8e8,server/master/src/main/java/org/apache/accumulo/master/Master.java
https://github.com/apache/accumulo/pull/1738/commits/8f56442220df5bb45f16a3d28adb3dc061be5881,core/src/main/java/org/apache/accumulo/core/volume/Volume.java
https://github.com/apache/accumulo/pull/2251/commits/f453409cdc2ece43f7bc4b2853f1dcdf8de09142,server/tserver/src/main/java/org/apache/accumulo/tserver/compactions/CompactionService.java
https://github.com/apache/accumulo/pull/2381/commits/868135a8cc793752b50bf1fd3b8e3f5f98327edb,core/src/main/java/org/apache/accumulo/core/clientImpl/TableOperationsImpl.java
https://github.com/apache/accumulo/pull/2438/commits/18effe61f58f27d0354ecc6daeda2a335b4bf51f,server/base/src/main/java/org/apache/accumulo/server/init/Initialize.java
https://github.com/apache/avro/pull/965/commits/1e038a014a4d3e7efb0c5206a0b64bd0a1041c95,lang/java/tools/src/main/java/org/apache/avro/tool/SpecificCompilerTool.java
https://github.com/apache/curator/pull/262/commits/5920c744508afd678a20309313e1b8d78baac0c4,curator-framework/src/main/java/org/apache/curator/framework/state/ConnectionStateManager.java
